team,path,distance
Arkansas-Pine Bluff,Arkansas-Pine Bluff->Alabama State->UAB->High Point->Wisconsin->Michigan,5
St. Bonaventure,St. Bonaventure->Florida Atlantic->UAB->High Point->Wisconsin->Michigan,5
East Texas A&M,East Texas A&M->Southeastern Louisiana->New Orleans->TCU->Wisconsin->Michigan,5
Lamar,Lamar->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,5
Northern Arizona,Northern Arizona->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
Stonehill,Stonehill->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Buffalo,Buffalo->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
Drexel,Drexel->Old Dominion->Appalachian State->High Point->Wisconsin->Michigan,5
Furman,Furman->Richmond->Southern Illinois->High Point->Wisconsin->Michigan,5
Stony Brook,Stony Brook->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,5
Ball State,Ball State->Central Michigan->Appalachian State->High Point->Wisconsin->Michigan,5
Louisiana,Louisiana->Southeastern Louisiana->New Orleans->TCU->Wisconsin->Michigan,5
Bowling Green,Bowling Green->Kansas State->West Virginia->BYU->Wisconsin->Michigan,5
Delaware,Delaware->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,5
California Baptist,California Baptist->Oregon State->Arizona State->Texas Tech->Duke->Michigan,5
USC Upstate,USC Upstate->Fresno State->New Orleans->TCU->Wisconsin->Michigan,5
Chattanooga,Chattanooga->Mercer->Appalachian State->High Point->Wisconsin->Michigan,5
College of Charleston,College of Charleston->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,5
Davidson,Davidson->Boston College->Notre Dame->TCU->Wisconsin->Michigan,5
Duquesne,Duquesne->Richmond->Southern Illinois->High Point->Wisconsin->Michigan,5
Niagara,Niagara->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
Florida International,Florida International->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,5
Bellarmine,Bellarmine->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,5
Grambling,Grambling->Alabama State->UAB->High Point->Wisconsin->Michigan,5
Jacksonville State,Jacksonville State->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,5
Kennesaw State,Kennesaw State->Georgia State->Appalachian State->High Point->Wisconsin->Michigan,5
Kent State,Kent State->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
UMass,UMass->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
Omaha,Omaha->North Dakota->Winthrop->High Point->Wisconsin->Michigan,5
UNC Wilmington,UNC Wilmington->Southeastern Louisiana->New Orleans->TCU->Wisconsin->Michigan,5
Northeastern,Northeastern->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Northern Kentucky,Northern Kentucky->Purdue Fort Wayne->Notre Dame->TCU->Wisconsin->Michigan,5
LIU,LIU->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Arkansas State,Arkansas State->Troy->San Diego State->Oregon->Wisconsin->Michigan,5
Ohio,Ohio->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
Radford,Radford->Longwood->Winthrop->High Point->Wisconsin->Michigan,5
Western Illinois,Western Illinois->North Dakota->Winthrop->High Point->Wisconsin->Michigan,5
Rhode Island,Rhode Island->Dayton->Georgetown->Villanova->Wisconsin->Michigan,5
Sam Houston,Sam Houston->Oregon State->Arizona State->Texas Tech->Duke->Michigan,5
Saint Peter's,Saint Peter's->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
Siena,Siena->Longwood->Winthrop->High Point->Wisconsin->Michigan,5
South Alabama,South Alabama->Central Michigan->Appalachian State->High Point->Wisconsin->Michigan,5
Toledo,Toledo->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
Vermont,Vermont->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,5
Wagner,Wagner->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Western Kentucky,Western Kentucky->Wichita State->Oklahoma State->BYU->Wisconsin->Michigan,5
Western Michigan,Western Michigan->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
William & Mary,William & Mary->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,5
Wright State,Wright State->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,5
Marist,Marist->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
Alabama A&M,Alabama A&M->Alabama State->UAB->High Point->Wisconsin->Michigan,5
Air Force,Air Force->Alabama State->UAB->High Point->Wisconsin->Michigan,5
UC Davis,UC Davis->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
