team,path,distance
Indiana,Indiana->Wisconsin->Michigan State->Ole Miss->Vanderbilt->Texas->UCLA,6
Arkansas,Arkansas->Auburn->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Lehigh,Lehigh->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,6
Cincinnati,Cincinnati->Iowa State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Drexel,Drexel->Temple->South Florida->Duke->LSU->Texas->UCLA,6
Vermont,Vermont->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Towson,Towson->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Bradley,Bradley->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
DePaul,DePaul->St. John's (NY)->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Houston,Houston->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,6
Liberty,Liberty->East Carolina->South Florida->Duke->LSU->Texas->UCLA,6
Howard,Howard->Fairfield->South Florida->Duke->LSU->Texas->UCLA,6
Saint Joseph's,Saint Joseph's->Columbia->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Seton Hall,Seton Hall->Auburn->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Wyoming,Wyoming->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Montana State,Montana State->Colorado->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Pepperdine,Pepperdine->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Maryland-Eastern Shore,Maryland-Eastern Shore->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Northwestern,Northwestern->Wisconsin->Michigan State->Ole Miss->Vanderbilt->Texas->UCLA,6
BYU,BYU->Texas Tech->Mississippi State->Kentucky->LSU->Texas->UCLA,6
UNLV,UNLV->UTSA->South Florida->Duke->LSU->Texas->UCLA,6
Northern Kentucky,Northern Kentucky->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
William & Mary,William & Mary->Wake Forest->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Georgetown,Georgetown->Wake Forest->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Oregon State,Oregon State->Illinois->Maryland->Kentucky->LSU->Texas->UCLA,6
Penn,Penn->Columbia->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Cornell,Cornell->Columbia->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Brown,Brown->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Maine,Maine->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Harvard,Harvard->St. John's (NY)->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Lamar,Lamar->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,6
Utah Tech,Utah Tech->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,6
American,American->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Florida Gulf Coast,Florida Gulf Coast->Stanford->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Incarnate Word,Incarnate Word->Northwestern State->McNeese->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,7
Belmont,Belmont->Bradley->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
North Carolina Central,North Carolina Central->Maryland-Eastern Shore->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
Norfolk State,Norfolk State->Maryland-Eastern Shore->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
St. Thomas,St. Thomas->Oral Roberts->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Morehead State,Morehead State->Marshall->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
College of Charleston,College of Charleston->Quinnipiac->Fairfield->South Florida->Duke->LSU->Texas->UCLA,7
Delaware,Delaware->Florida International->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Florida A&M,Florida A&M->Southern->Arizona->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
North Florida,North Florida->Austin Peay->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,7
IU Indianapolis,IU Indianapolis->Bradley->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Bucknell,Bucknell->Lehigh->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
FDU,FDU->NJIT->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
George Mason,George Mason->Richmond->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Robert Morris,Robert Morris->Northern Kentucky->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
UIC,UIC->Illinois State->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Loyola (IL),Loyola (IL)->Florida Gulf Coast->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Milwaukee,Milwaukee->Cleveland State->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Davidson,Davidson->Florida Gulf Coast->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Saint Louis,Saint Louis->Dayton->Kansas->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Central Arkansas,Central Arkansas->Eastern Kentucky->Utah->West Virginia->Duke->LSU->Texas->UCLA,7
SIU-Edwardsville,SIU-Edwardsville->Eastern Kentucky->Utah->West Virginia->Duke->LSU->Texas->UCLA,7
Toledo,Toledo->UMass->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Nevada,Nevada->Wyoming->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Idaho,Idaho->Montana State->Colorado->Baylor->Duke->LSU->Texas->UCLA,7
Washington State,Washington State->Pepperdine->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
